bID,name,address,cord,numOfReview,rating,zipcode,cuisine
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,"40 W 56th St, New York, NY 10019","40.76292, -73.976546",968,4.5,10019,chinese
BNaveJmi-OUGKG9sRfrIhA,Mr. Sun,"48 W 48th St, New York, NY 10036","40.75809, -73.98026",250,4.5,10036,chinese
83zDAk03lFXkgImgkLhT9w,Chi Restaurant & Bar,"492 9th Ave, New York, NY 10018","40.75547, -73.99439",91,4.5,10018,chinese
h0pRCiJDrCN7tm3VX5tILQ,CHILI,"13 E 37th St, New York, NY 10016","40.75002, -73.98215",703,4.5,10016,chinese
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,"334 W 46th St, New York, NY 10036","40.76015, -73.9893699",1717,4.0,10036,chinese
iXH9H75idkSB-Eudo5ABhg,Tang By Mr. Sun,"1442 3rd Ave, New York, NY 10028","40.77614, -73.95616",18,4.5,10028,chinese
qrncvjkiKN5Z-JC06ygy6A,Hutong New York,"Inside Beacon Courtyard, New York, NY 10022","40.761551, -73.967443",536,3.5,10022,chinese
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,"46 Bowery St, New York, NY 10013","40.7156608, -73.9967012",7239,4.0,10013,chinese
ZWP7yq9C2bhCcLkMR9BmVw,Mala Project,"245 East 53rd St, New York, NY 10022","40.75714784759798, -73.96769121739368",86,4.5,10022,chinese
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,"1016 Lexington Ave, New York, NY 10021","40.7711335538802, -73.9620354269869",562,4.5,10021,chinese
GuzlMBKNoClNx5I1-x-DDg,53 NYC,"53 W 53rd St, New York, NY 10019","40.76179318437133, -73.9780863",112,4.0,10019,chinese
sRWRA4dcN_NR1JGpuRVouA,Nan Xiang Xiao Long Bao - Manhattan,"24 W 33rd St, New York, NY 10001","40.74822527534694, -73.9857786",735,4.5,10001,chinese
xq0cX_DgxiJMXwhmEl9kUA,Café China,"59 W 37th St, New York, NY 10018","40.751587, -73.985815",1920,4.0,10018,chinese
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,"215 W 85th St, New York, NY 10024","40.78752, -73.97647",710,4.0,10024,chinese
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou,"295 Grand St, New York, NY 10002","40.7174109, -73.99210041198651",1314,4.5,10002,chinese
FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,"360 W 42nd Street, New York, NY 10036","40.7582902125633, -73.9925113993899",550,4.0,10036,chinese
R3UNnA8EbjhNWBHS0wJ0VA,Grand Sichuan Eastern,"1049 2nd Ave, New York, NY 10022","40.75831, -73.96636",280,3.5,10022,chinese
0dDCDQz7DrKkSvu9h2hcQw,Chow House,"181 Bleecker St, New York, NY 10012","40.72915, -74.00072",634,4.5,10012,chinese
Ece_DRuD1yQjRPJBAebRpw,Kung Fu Little Steamed Buns Ramen,"146 E 55th St, New York, NY 10022","40.7592514705491, -73.9694294705987",391,3.5,10022,chinese
4FD0TAxe70nb3ngk3sXF9Q,Uluh,"152 2nd Ave, Ste A, New York, NY 10003","40.7293403, -73.9866071",904,4.5,10003,chinese
oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,"1378 3rd Ave, New York, NY 10075","40.773951, -73.957927",539,4.0,10075,chinese
Q85ScF9s6vlS5_i453AFvg,Tangy Noodle,"98 8th Ave, New York, NY 10011","40.740203, -74.00193",71,4.5,10011,chinese
HR_a2QSA_KJZIakufAJUmg,Szechuan Gourmet,"21 W 39th St, New York, NY 10018","40.752347, -73.983559",65,4.5,10018,chinese
1dFOF1HPaThSCsdiqR7DrA,Land of Plenty,"204E 58th St, New York, NY 10022","40.76063, -73.96664",372,3.5,10022,chinese
UK1oGbr8GU2rufpnJR4-HQ,Joe's Home of Soup Dumplings,"7 E 48th St, between Fifth and Madison avenues, New York, NY 10017","40.75723, -73.97702",494,4.5,10017,chinese
p4xNh2NAy85Br77XaomFOw,OOHU,"128 W 36th St, New York, NY 10018","40.751493955047785, -73.9883517",32,4.5,10018,chinese
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,"90 3rd Ave, New York, NY 10003","40.732072, -73.988074",1359,4.0,10003,chinese
LT0yyLNM84EiJj9DL0rfHA,Hui Restaurant & Bar,"314 E 70th St, New York, NY 10021","40.76701, -73.95846",288,4.5,10021,chinese
WVsPyl-DGRu0O_rQYdIMVQ,The Best Sichuan,"47 W 39th St, New York, NY 10018","40.75266, -73.98459",125,4.5,10018,chinese
QaolMEijS7L6eodSneOdng,Tri Dim Shanghai West,"467 Columbus Ave, New York, NY 10024","40.78412, -73.97368",226,4.0,10024,chinese
wDuf4Qz9qsC62amLZgWNJQ,Little Alley,"550 3rd Ave, New York, NY 10016","40.74744, -73.97728",534,4.0,10016,chinese
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,"23 St Marks Pl, New York, NY 10003","40.72911, -73.98858",667,4.5,10003,chinese
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,"320 Lexington Ave, New York, NY 10016","40.74922, -73.97785",327,4.5,10016,chinese
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,"150 E 50th St, New York, NY 10022","40.7558937072754, -73.9715347290039",654,4.5,10022,chinese
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1,"79 Chrystie St, New York, NY 10002","40.71735, -73.99457",2017,4.5,10002,chinese
uaFHoq-a5XqxF-bsOK9_Qg,Real Kung Fu Little Steamed Buns Ramen,"811 8th Ave, New York, NY 10019","40.7616286634162, -73.98688",1153,4.0,10019,chinese
Qwd4Tv-CqgO2Yl9zZgkKOQ,Shun Lee Palace,"155 E 55th St, New York, NY 10022","40.75945, -73.96907",340,3.0,10022,chinese
0Lnp_fi3gI2bfJ8RcMDfjg,Gen,"659 Washington Ave, Brooklyn, NY 11238","40.677639, -73.963485",303,4.0,11238,chinese
1jAB_uaI8-P_wSqOo2S3KQ,Mazu Szechuan,"495 3rd Ave, New York, NY 10016","40.745234, -73.97812",126,4.5,10016,chinese
83BXSwE0166sObnXLUE4bQ,Land,"450 Amsterdam Ave, New York, NY 10024","40.78497, -73.9772182",1128,4.0,10024,chinese
oJ6fy4fBv_3WskxH4NfNBg,Chef Huang Jian Bing & Peking Duck,"635 2nd Ave, New York, NY 10016","40.74531205210646, -73.9757772",75,4.5,10016,chinese
M-odQWSEfsR2mVEw7nKG-g,Nyonya,"199 Grand St, New York, NY 10013","40.719116974367, -73.9968322948353",2378,4.0,10013,chinese
nI1UYDCYUTt23TpGxqnLKg,Buddakan,"75 9th Ave, New York, NY 10011","40.7422762672197, -74.0048000961542",4567,4.0,10011,chinese
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao Chelsea,"461 W 23rd St, New York, NY 10011","40.74765439999999, -74.00352547055276",1047,4.5,10011,chinese
FcQA5tV8wlz6jg_UK_s7Hw,Simply Noodles,"267  Amsterdam Ave, New York, NY 10023","40.7788403, -73.98118199999999",120,4.5,10023,chinese
8plXW6ZQI1awPu1scms3jQ,Silky Kitchen,"138 W 46th St, New York, NY 10036","40.757889, -73.984009",77,4.5,10036,chinese
_fTRTishY3G5dLPLYGCVAw,Tipsy Shanghai,"594 3rd Ave, New York, NY 10016","40.74879, -73.9761",46,4.0,10016,chinese
M-4J09S14mPsH1EJrnR1Og,Yemen chuanchuan 爺们串串 爷们串串,"105 W27 St, New York, NY 10001","40.745733, -73.99132",20,4.0,10001,chinese
FcXsiSJbk2ZnHyFJMkMK3g,Mala Kitchen,"7 E 47th St, New York, NY 10017","40.756545, -73.977673",33,4.0,10017,chinese
croh2zWlbPyCQTNS11klcg,China River 川聚院,"258 W 44th St, New York, NY 10036","40.75821, -73.98833",281,4.0,10036,chinese
x0k5kFArHLijdY8-NEQ7Xg,Bengal Tiger Indian Food,"58 W 56th St, Fl 2, New York, NY 10019","40.763167, -73.977131",2326,4.5,10019,indian
m5Whyz8O8jM4DrE808h71g,Darbar Grill,"157 E 55th St, New York, NY 10022","40.759357, -73.968826",588,4.0,10022,indian
QqrEF8_ZQCGi63cL10J5oA,Chola,"232 E 58th St, New York, NY 10022","40.76016, -73.96582",676,4.0,10022,indian
XLEdQl5s1bO5Iu43W_c96Q,Muna,"152 East 46th St, New York, NY 10017","40.753509, -73.973515",39,4.5,10017,indian
1_pK5aQ47atF50oAKHADhA,Indian Accent,"123 W 56th St, New York, NY 10019","40.7643344624229, -73.9787312885132",716,4.5,10019,indian
HEs6llkn3wIP1ATXeIZQew,Pippali,"129 E 27th St, New York, NY 10016","40.74233, -73.98331",897,4.0,10016,indian
z2VXX7wGl8XZ6_oo9W3koA,Patiala Indian Grill,"371 W 34th St, New York, NY 10001","40.7534700430117, -73.99595067259492",624,4.5,10001,indian
jf3JRaxUYU93x8LFU-8gkA,GupShup,"115 E18th St, New York, NY 10003","40.7368323318866, -73.9877132715179",687,4.0,10003,indian
Xqk91WuhMeYS4pedccUYgA,Gazab,"179 Essex St, New York, NY 10002","40.72191, -73.98666",255,4.5,10002,indian
jSMfV_e4Jh1DKoCnngOiQQ,Gulaabo,"250 W 47th St, New York, NY 10036","40.759859, -73.986707",16,4.5,10036,indian
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,"150 E 50th St, New York, NY 10022","40.7558937072754, -73.9715347290039",654,4.5,10022,indian
9pMhRYYgV7E9L7pzECtJKA,The Drunken Munkey - UES,"338 E 92nd St, New York, NY 10128","40.78098, -73.94751",1351,4.5,10128,indian
u_CnSp9FieAuWqhvCn-A2A,Spice Mantra,"1047 2nd Ave, New York, NY 10022","40.75825, -73.96633",81,4.5,10022,indian
ut-560tVcs2g-ZU0Y_qqHQ,Saar Indian Bistro,"241 W 51st St, New York, NY 10019","40.7626659, -73.9847093",397,4.5,10019,indian
objNX6cuj1JyUijFjw21Qw,Bombay Bistro,"31 Cornelia St, New York, NY 10014","40.73136, -74.00253",276,4.5,10014,indian
5UowQyu8tSljomOP-VL7NA,Tribhaanga,"234 W 56th St, Fl 1, New York, NY 10019","40.765496, -73.982754",61,4.5,10019,indian
izRJeBfDQYJmd6ibIQ6Mfg,Mughlai Indian Cuisine,"1724 2nd Ave, New York, NY 10128","40.78002, -73.94978",623,4.5,10128,indian
ZikqL-flwV2XYlKtL2UfmA,Rangoli Exquisite Indian Cuisine,"1393 A 2nd Ave, New York, NY 10021","40.7693, -73.95823",513,4.5,10021,indian
kS2CP48K66yL2TwIhUqy_A,Tamarind,"99 Hudson St, New York, NY 10013","40.71909, -74.00892",1133,4.0,10013,indian
NgD-6ogFGc_c4z5_Ur4k2g,Dhaba Indian Cuisine,"108 Lexington Ave, New York, NY 10016","40.742364, -73.982813",1592,3.5,10016,indian
jYhbUh1TV7SCfPxjIhVpcg,Baar Baar,"13 E 1st St, New York, NY 10003","40.7244378855031, -73.9915524",1237,4.0,10003,indian
7VIUu8ay754GoUYEpsmxOA,Jazba,"207 2nd Ave, New York, NY 10003","40.731701, -73.98585",10,5.0,10003,indian
Txm8KtUh9Mn2E7980jTr5g,Dhamaka,"119 Delancey St, Essex Market, Store  34, New York, NY 10002","40.7180658, -73.9881304",435,4.0,10002,indian
7USPKYeaAfxl0Ch9j_1l7A,Moti Mahal Delux,"1149 1st Ave, New York, NY 10065","40.76213, -73.9605",565,4.0,10065,indian
xWVHj2XNcxEg79Nkb5Zb6Q,Semma,"60 Greenwich Ave, New York, NY 10011","40.736054206102615, -74.0005639",349,4.0,10011,indian
qhXIW0LDT4XsoN2IE6dZHg,Ahimsa,"204 E 38th St, New York, NY 10016","40.7478959, -73.9758638",218,4.5,10016,indian
iLjrQvbUYPj6NLkalyau0w,Hyderabadi Zaiqa,"366 W 52 St, New York, NY 10019","40.76439568665357, -73.9876243",25,5.0,10019,indian
50eKjWOB-H9iuo1ocACOaQ,Imli Urban Indian Food,"1136 1st Ave, New York, NY 10065","40.7616660604253, -73.9601389691234",256,4.5,10065,indian
XKy4Cy4uNgO7rxhH4yFJQQ,Mughlai Indian Cuisine,"329 3rd Ave, New York, NY 10010","40.7397599, -73.98226",462,4.0,10010,indian
tN37MOvqzrmpU0h0PfoDmw,Utsav,"1185 Avenue Of The Americas Plz, New York, NY 10036","40.75787, -73.982418",650,3.5,10036,indian
Xl-zlT0NLLiKhym88em22w,Adda Indian Canteen,"31-31 Thomson Ave, Long Island City, NY 11101","40.745011, -73.934243",567,4.0,11101,indian
lxNU-aBq0yPwBDx-i89ahA,Seva Indian Cuisine,"34-11 30th Ave, Astoria, NY 11103","40.76571, -73.91839",1433,4.5,11103,indian
_7BGw3YFNOTzP1Www3zB7g,Mughlai Grill,"6 Clinton St, New York, NY 10002","40.7210905, -73.9840446",531,4.5,10002,indian
t6PzD4uzBOfyCLcd_lT8cQ,Sathi,"216 3rd Ave, New York, NY 10003","40.73621, -73.98528",295,4.5,10003,indian
XgqIDfU6tKPUdRxRG5uDNw,Desi Deli Indian Restaurant,"724 10th Ave, New York, NY 10019","40.76433, -73.99182",150,3.5,10019,indian
jvPYm9rYK-5ddnjU30Oz4Q,Avant Garden,"95 Avenue A, Fl 2, New York, NY 10009","40.72567325788113, -73.98408189999999",436,4.5,10009,indian
ePn4BwyXeY8NKN-MWSgfrQ,Kebab Aur Sharab,"247 W 72nd St, New York, NY 10023","40.77951, -73.98331",87,4.0,10023,indian
BPyt7S9TdcR1u571iacg7g,The Kati Roll Company,"49 W 39th St, New York, NY 10018","40.752819, -73.984587",1678,3.5,10018,indian
nd0uXNXaeaDMuMk4C1GusA,Bukhara Grill:Indian Spice Rave,"217 E 49th St, New York, NY 10017","40.75501, -73.97028",554,3.5,10017,indian
RARUAVWONyRQovr0D6TGQg,Baazi,"2588 Broadway, New York, NY 10025","40.7955035, -73.9708505",71,4.0,10025,indian
guwS_mhhUjOT5d8sYfEluQ,Adyar Ananda Bhavan,"1071 1st Ave, New York, NY 10022","40.759381, -73.962489",400,3.5,10022,indian
3hlAeWgSKAnSQ1tg8k8D8g,Alachi Masala,"Ave, New York, NY 10024","40.786196, -73.976448",282,4.0,10024,indian
Q7wFlNr4OFU0eCJXcOmopg,Bombay's Indian Restaurant,"60 Pearl St, New York, NY 10004","40.70344, -74.01109",262,3.5,10004,indian
GNPne4Il-itbn2sLbvMo1g,Angel Indian Restaurant,"7414 37th Rd, Jackson Heights, NY 11372","40.7473069226623, -73.8912814123575",421,4.5,11372,indian
_R6EjbrynW_LFnmWoRqgww,Surya - Madam Ji,"154 Bleecker St, New York, NY 10012","40.7281, -73.99963",294,3.5,10012,indian
raGF9jAO7JOiIbFQ2_bTAg,India at Time Square,"332 W 44th St, New York, NY 10036","40.75941459798258, -73.99145881962656",102,4.5,10036,indian
KXD44wWmrGf7mzyyr0bikw,P.S. Kitchen,"246 W 48th St, New York, NY 10036","40.760706, -73.986627",711,4.5,10036,indian
ECUTH1VOWxZ9GwfzblMKzA,Mughlai Indian Cuisine,"255 W 55th St, New York, NY 10019","40.765394, -73.983272",177,4.5,10019,indian
dOQjniOt57mI9l9CmrCSJQ,Curry India,"148 W 49th St, New York, NY 10019","40.76006, -73.98306",194,4.0,10019,indian
1KGvtMU7VBcdlvxo2brdQg,Clove Indian Restaurant I,"1592 Amsterdam Ave, Flr 1, Manhattan, NY 10031","40.8212624, -73.9506836",333,4.0,10031,indian
hdiuRS9sVZSMReZm4oV5SA,Da Andrea,"35 W 13th St, New York, NY 10011","40.736218, -73.99597",2072,4.5,10011,italian
VmdyRRMtUXOWV7F7w0ImwQ,Piccola Cucina Uptown,"106 E 60th St, New York, NY 10022","40.763174, -73.969046",378,4.5,10022,italian
16ZnHpuaaBt92XWeJHCC5A,Olio e Più,"3 Greenwich Ave, New York, NY 10014","40.733798036104304, -73.99977392649927",4862,4.5,10014,italian
DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,"254 West 47th St, New York, NY 10036","40.759876, -73.986767",2677,4.0,10036,italian
vjubSxmdG_HoBBgd39geBw,Nino's 46,"39 W 46th St, New York, NY 10036","40.756899, -73.980507",1411,4.0,10036,italian
OWNmOq-TAsHjGcYdCVclSw,Osteria La Baia,"129 W 52nd St, New York, NY 10019","40.76189587672743, -73.9806749",109,4.5,10019,italian
WG639VkTjmK5dzydd1BBJA,Rubirosa,"235 Mulberry St, New York, NY 10012","40.722766, -73.996233",3171,4.5,10012,italian
rp8S7scxOkVVeG7dNneMGQ,L'Artusi,"228 W 10th St, New York, NY 10014","40.73372, -74.00513",2367,4.5,10014,italian
OAqsZMbjv66nOMqlimnYuQ,Uva,"1486 2nd Ave, New York, NY 10075","40.77219299003591, -73.95561517222123",2772,4.0,10075,italian
562aZEpTDdYKDe5hWuDyFA,La Gioconda,"226 E 53rd St, New York, NY 10022","40.75716, -73.96833",195,4.0,10022,italian
HpxYBu1ARzOGvuUcLJe54g,Giardino 54,"400 1/2 W 54th St, New York, NY 10019","40.7660476, -73.987591",230,4.5,10019,italian
TzVVPWK_4dhdSEpNqZwIhQ,Toscana 49,"143 East 49 St, New York, NY 10017","40.7556957079225, -73.9717184007168",345,4.0,10017,italian
V3USzFEGhuoXez4G2Rk11A,Tavola,"488 9th Ave, New York, NY 10018","40.755403, -73.994516",1345,4.0,10018,italian
kIK1DBH6ODkSouhvz-4VWA,Il Tinello,"244 East 46th St, New York, NY 10017","40.75265874754987, -73.97093351560888",47,5.0,10017,italian
rpVX-o82EEOX8ZDnM28a_Q,Bistango,"145 E 50th St, The Kimberly Hotel, New York, NY 10022","40.75628, -73.97144",356,4.0,10022,italian
hkooeEkd3oPsLD6JJrYpjA,Café Luce,"235 E 53rd St, New York, NY 10022","40.757323, -73.967928",147,4.5,10022,italian
22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,"200 W 44th St, New York, NY 10036","40.75749848725768, -73.98665333142026",4665,4.0,10036,italian
aLM9irVFlNoVlS9dGuW_Lg,Amata,"209 E 56th St, New York, NY 10022","40.759426, -73.967063",94,4.0,10022,italian
E48WbksxAk19a8vjJRVIVQ,Ramerino Italian Prime,"16 E 39th St, New York, NY 10016","40.75107, -73.98135",73,4.5,10016,italian
h37t9rA06Sr4EetJjKrfzw,Don Angie,"103 Greenwich Ave, New York, NY 10014","40.73778, -74.00197",781,4.5,10014,italian
JFmWkslCGTeuwC_Yews4-Q,Carlotto,"100 E 19th St, New York, NY 10003","40.7375, -73.98782",30,4.5,10003,italian
26emJlm1YMFyOCezfgVk4g,Da Raffaele,"883 First Ave, New York, NY 10022","40.7535386913133, -73.9666010811925",220,4.5,10022,italian
JLpEKUYAtzBRQwsUL3RPIA,Il Corso,"54 W 55th St, New York, NY 10019","40.762441, -73.977206",443,4.5,10019,italian
z7H9ApIGopnDnQaglnPTzg,Allora Ristorante,"145 E 47th St, New York, NY 10017","40.75433, -73.97277",793,4.5,10017,italian
5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,"147 W 43rd St, New York, NY 10036","40.75641, -73.98547",2610,4.0,10036,italian
gObd5Qhhv5yL1zBjRoltxg,Via Toscana,"344 W 52nd St, New York, NY 10019","40.7639195, -73.98683660000002",12,5.0,10019,italian
rFeNJtqgMWf2tWy-RB6jgg,Torrisi,"275 Mulberry St, New York, NY 10012","40.72430313694441, -73.99543783926944",93,4.5,10012,italian
raqwXUBlnc0e8c7CYmxEJQ,Scarpetta,"88 Madison Ave, New York, NY 10016","40.744509, -73.9856",2272,4.0,10016,italian
lgFApPVpbXnsIFw1CRJORw,Cellini Restaurant,"65 E 54th St, New York, NY 10022","40.760115, -73.972686",182,4.0,10022,italian
ktMtLr8mp4K7IGxUgCTs6Q,Bocca di Bacco,"635 9th Ave, New York, NY 10036","40.76021745303923, -73.99156281784906",11,4.5,10036,italian
hzPBADaUBQEL30MGrvKsww,Il Tinello Ristorante Italiano,"16 W 56th St, New York, NY 10019","40.76256, -73.97566",334,4.5,10019,italian
LkV96_buOU_n0br4SBO57w,Ci Siamo,"440 West 33rd St, Ste 100, New York, NY 10001","40.75240549384363, -73.9982864846782",366,4.5,10001,italian
LXdblKc5g1Dp17xiV-Am1w,Trattoria Dell'Arte,"900 7th Ave, New York, NY 10019","40.76545990643915, -73.98053136970677",1203,4.0,10019,italian
yB4ziqFM_7V8JxJas7CHfA,Ulivo,"4 W 28th St, New York, NY 10001","40.7447371960713, -73.9880339428782",379,4.0,10001,italian
Q1_UvNyONsaVS_VC1mD9Dw,Osteria Cotta,"513 Columbus Ave, New York, NY 10024","40.78554, -73.97263",1072,4.0,10024,italian
Z-QmxQZAJEy5GXqA82Bemw,Da Toscano,"24 Minetta Ln, New York, NY 10012","40.730508, -74.001238",142,4.5,10012,italian
OCTiJwvjoK81WoDwsTkFvA,Paesano of Mulberry Street,"136 Mulberry St, New York, NY 10013","40.718554, -73.997447",1418,4.0,10013,italian
hveuXFWS53S1wWpaK0nokw,Lupetto,"1123 Broadway, New York, NY 10010","40.74332, -73.98924",4,5.0,10010,italian
Ve6GVzzJpR5QIIPdcn6ViQ,Mercato,"352 W 39th St, New York, NY 10018","40.75619, -73.9937",1051,4.0,10018,italian
RXCCofQw1EjTcSN0ZeXfRA,Risotteria Melotti NYC,"309 E 5th St, New York, NY 10003","40.726673363853, -73.9880919456482",394,4.5,10003,italian
GjEE8vvjqb7eeHA3BGNxAw,Barolo East,"214 E 49th St, New York, NY 10017","40.75481, -73.97059",268,4.5,10017,italian
MOwB9YYd-Ko6nVgSB-ltQw,Briciola,"370 W 51st St, New York, NY 10019","40.7637997047278, -73.9880919456482",1012,4.0,10019,italian
AUifp6IDKzmorCM6vY2fug,Pepe Giallo,"195 10th Ave, New York, NY 10011","40.7468940064083, -74.0049896784992",789,4.0,10011,italian
UJe9_p6NEl0kA6xHVo5PKw,Amelie,"566 Amsterdam Ave, New York, NY 10024","40.78875, -73.97464",297,4.5,10024,italian
qBGKigOGn_flCx1apxPzlA,Piccola Cucina Osteria,"196 Spring St, New York, NY 10012","40.72506, -74.00322",797,4.5,10012,italian
5zcZZJhriNQ2R92r9drxug,Il Postino,"133 E 61st St, New York, NY 10065","40.763828, -73.967516",153,4.0,10065,italian
yZJbealagfujEkgesAl2hA,Lupa,"170 Thompson St, New York, NY 10012","40.7276, -74.000045",1737,4.0,10012,italian
7cjT33LfYSk7vrRdEaSr4w,Angeletto Restaurant,"890 2nd Ave, New York, NY 10017","40.753188, -73.969365",299,4.5,10017,italian
-vBfKWJ1v9YdJQT5XUbcBQ,Le Botaniste,"833 Lexington Ave, New York, NY 10065","40.7649986274526, -73.9659830279587",475,4.5,10065,italian
faukkggAc_tuJ4THYlf4fg,La Masseria,"235 W 48th St, New York, NY 10036","40.760868632784, -73.986348802868",720,4.0,10036,italian
